State,Percentage of Pell Grantees,Median Federal Debt for All Students,Median Federal Debt of Pell Grantees,Nonrepayment Rate for Pell Students,Nonrepayment Rate for All Students,"Average Cost for Low-Income Students, Per Year",Default Rate for All Students,"Percentage of All Students Earning $25K or Less Per Year, 10 Years After Enrolling"
Adelphi University,0.308,25000,23000,0.363,0.297,22197,0.032,0.204
Alliant International University-San Diego,0.123,3000,13425,0.634,0.496,16785,0.027,0.197
American International College,0.506,27000,21750,0.586,0.519,17160,0.062,0.263
American University,0.167,24589,25000,0.273,0.199,28524,0.021,0.168
Andrews University,0.293,27750,26768,0.536,0.493,19226,0.053,0.338
Arizona State University-Tempe,0.319,20229,17250,0.492,0.433,7195,0.073,0.203
Ashland University,0.286,27000,24237,0.358,0.279,16258,0.034,0.233
Auburn University,0.161,21831,20500,0.362,0.276,13814,0.045,0.187
Azusa Pacific University,0.290,22500,20500,0.440,0.335,26717,0.036,0.227
Ball State University,0.340,25000,20000,0.443,0.374,9260,0.049,0.231
Barry University,0.505,28250,22500,0.669,0.594,22275,0.051,0.199
Baylor University,0.214,25131,24200,0.375,0.269,26449,0.039,0.179
Benedictine University,0.367,23000,17188,0.517,0.433,16935,0.044,0.192
Biola University,0.311,24375,21875,0.297,0.229,25064,0.022,0.297
Boise State University,0.346,23500,17750,0.508,0.477,13079,0.083,0.304
Boston College,0.134,19000,20000,0.138,0.088,15714,0.006,0.098
Boston University,0.142,27000,27000,0.243,0.176,22695,0.018,0.137
Bowling Green State University-Main Campus,0.331,26000,20625,0.567,0.464,14949,0.096,0.238
Brandeis University,0.199,27000,27038,0.280,0.196,13311,0.024,0.170
Brigham Young University-Provo,0.370,11000,9982,0.196,0.193,9083,0.012,0.217
Brown University,0.158,15500,12000,0.164,0.117,3186,0.005,0.127
California State University-Fresno,0.570,15994,13000,0.417,0.382,3834,0.043,0.244
California State University-Fullerton,0.443,14944,12377,0.363,0.328,3364,0.035,0.230
Cardinal Stritch University,0.428,27000,24755,0.604,0.482,15622,0.055,0.174
Carnegie Mellon University,0.138,25250,25780,0.135,0.098,20442,0.007,0.123
Case Western Reserve University,0.187,24250,25000,0.224,0.170,14583,0.012,0.110
Catholic University of America,0.125,26000,23500,0.316,0.219,29820,0.018,0.173
Central Michigan University,0.363,27000,24270,0.533,0.452,10753,0.055,0.236
Clark Atlanta University,0.719,31000,21250,0.721,0.706,30500,0.100,0.354
Clark University,0.230,27000,26000,0.248,0.175,17438,0.023,0.223
Clarkson University,0.277,27000,25967,0.183,0.142,17406,0.028,0.091
Clemson University,0.183,21831,22500,0.301,0.226,11581,0.027,0.138
Cleveland State University,0.432,22656,16977,0.607,0.532,14284,0.082,0.267
College of William and Mary,0.116,19500,19125,0.210,0.148,5136,0.006,0.132
Colorado School of Mines,0.172,26849,26990,0.145,0.109,21149,0.008,0.082
Colorado State University-Fort Collins,0.249,21000,18640,0.381,0.313,10449,0.028,0.210
Columbia University in the City of New York,0.214,23000,25550,0.309,0.227,9142,0.017,0.137
Cornell University,0.163,12035,10537,0.174,0.131,11665,0.010,0.111
Dallas Baptist University,0.294,22638,18750,0.566,0.462,20332,0.060,0.252
Dartmouth College,0.138,12000,6856,0.183,0.108,7529,0.017,0.142
DePaul University,0.350,23500,21500,0.473,0.392,22223,0.043,0.196
Drexel University,0.206,25500,23063,0.331,0.232,26588,0.031,0.132
Duke University,0.140,7500,8336,0.150,0.099,8777,0.006,0.095
Duquesne University,0.198,27000,28000,0.272,0.189,17295,0.025,0.126
East Carolina University,0.336,24360,19750,0.451,0.368,10257,0.051,0.218
East Tennessee State University,0.433,20000,15000,0.554,0.488,12495,0.116,0.326
Eastern Michigan University,0.439,26000,21172,0.604,0.537,11036,0.102,0.290
Edgewood College,0.334,26000,22714,0.345,0.250,16690,0.024,0.213
Emory University,0.213,19000,19000,0.260,0.192,15535,0.021,0.132
Fairleigh Dickinson University-Metropolitan Campus,0.276,26250,21000,0.479,0.386,14686,0.047,0.223
Florida Agricultural and Mechanical University,0.609,27750,22500,0.717,0.694,10821,0.147,0.309
Florida Atlantic University,0.395,16836,13000,0.500,0.455,10558,0.062,0.243
Florida Institute of Technology,0.231,26988,8750,0.753,0.654,24562,0.124,0.165
Florida International University,0.564,17250,13750,0.466,0.450,9039,0.068,0.215
Florida State University,0.332,20887,20000,0.431,0.367,12737,0.050,0.205
Fordham University,0.198,25000,20500,0.335,0.230,24556,0.024,0.171
Gardner-Webb University,0.240,23988,18250,0.557,0.455,17912,0.080,0.256
George Mason University,0.252,20000,18000,0.314,0.264,13745,0.016,0.154
George Washington University,0.142,25350,27500,0.214,0.168,19494,0.012,0.113
Georgetown University,0.130,17000,16160,0.173,0.133,9638,0.006,0.085
Georgia Institute of Technology-Main Campus,0.182,24250,22606,0.205,0.153,6138,0.017,0.101
Georgia Southern University,0.385,22500,19000,0.566,0.484,13714,0.061,0.248
Georgia State University,0.519,23090,18500,0.605,0.558,13854,0.060,0.256
Harvard University,0.130,6500,11030,0.500,0.340,2473,0.009,0.097
Hofstra University,0.234,23500,20982,0.404,0.291,26809,0.042,0.179
Howard University,0.483,27000,25990,0.736,0.680,21277,0.078,0.259
Idaho State University,0.432,22500,16150,0.577,0.542,14059,0.105,0.345
Illinois Institute of Technology,0.310,27000,26157,0.216,0.193,15042,0.026,0.106
Illinois State University,0.267,22500,19500,0.373,0.264,11958,0.028,0.170
Immaculata University,0.229,26021,24438,0.526,0.389,26742,0.066,0.231
Indiana State University,0.447,23713,11702,0.553,0.480,8115,0.096,0.286
Indiana University of Pennsylvania-Main Campus,0.367,27000,22000,0.432,0.349,13612,0.088,0.286
Indiana University-Bloomington,0.164,23000,19500,0.379,0.265,4855,0.039,0.203
Indiana University-Purdue University-Indianapolis,0.373,24148,17340,0.547,0.468,7922,0.059,0.255
Iowa State University,0.218,24365,21714,0.333,0.259,8721,0.039,0.156
Jackson State University,0.659,29500,22750,0.786,0.771,14455,0.127,0.405
Johns Hopkins University,0.128,16250,14517,0.246,0.186,10049,0.015,0.120
Kansas State University,0.245,22236,18637,0.374,0.292,12904,0.053,0.197
Kennesaw State University,0.407,22750,16000,0.539,0.465,13686,0.071,0.281
Kent State University at Kent,0.333,25997,18500,0.630,0.542,14701,0.120,0.296
Lamar University,0.442,22486,15500,0.632,0.580,12412,0.119,0.266
Lehigh University,0.148,25000,22954,0.175,0.115,15155,0.011,0.081
Lesley University,0.271,25000,20833,0.453,0.372,26506,0.038,0.311
Liberty University,0.498,23250,12101,0.708,0.625,23428,0.085,0.314
Lindenwood University,0.335,27000,21500,0.602,0.475,20308,0.034,0.246
