University,City,State,Rank,In-state Tuition,Out-state Tuition,Enrollment
Princeton University,Princeton, NJ,1,$47140,$47140,5400
Harvard University,Cambridge, MA,2,$48949,$48949,6710
University of Chicago,Chicago, IL,3  ,$54825,$54825,5941
Yale University,New Haven, CT,3  ,$51400,$51400,5472
Columbia University,New York, NY,5  ,$57208,$57208,6113
Massachusetts Institute of Technology,Cambridge, MA,5  ,$49892,$49892,4524
Stanford University,Stanford, CA,5  ,$49617,$49617,7034
University of Pennsylvania,Philadelphia, PA,8,$53534,$53534,10019
Duke University,Durham, NC,9,$53744,$53744,6609
California Institute of Technology,Pasadena, CA,10,$49908,$49908,979
Dartmouth College,Hanover, NH,11  ,$52950,$52950,4310
Johns Hopkins University,Baltimore, MD,11  ,$52170,$52170,6117
Northwestern University,Evanston, IL,11  ,$52678,$52678,8353
Brown University,Providence, RI,14  ,$53419,$53419,6926
Cornell University,Ithaca, NY,14  ,$52853,$52853,14566
Rice University,Houston, TX,14  ,$45608,$45608,3893
Vanderbilt University,Nashville, TN,14  ,$47664,$47664,6871
University of Notre Dame,Notre Dame, IN,18  ,$51505,$51505,8530
Washington University in St. Louis,St. Louis, MO,18  ,$51533,$51533,7540
Georgetown University,Washington, DC,20,$52300,$52300,7453
Emory University,Atlanta, GA,21  ,$49392,$49392,6861
University of Southern California,Los Angeles, CA,21  ,$54259,$54259,18794
Carnegie Mellon University,Pittsburgh, PA,25  ,$53910,$53910,6673
Wake Forest University,Winston-Salem, NC,27,$51400,$51400,4955
Tufts University,Medford, MA,29,$54318,$54318,5508
New York University,New York, NY,30  ,$50464,$50464,26135
Boston College,Chestnut Hill, MA,32  ,$53346,$53346,9309
Brandeis University,Waltham, MA,34  ,$53582,$53582,3608
University of Rochester,Rochester, NY,34  ,$52020,$52020,6386
Boston University,Boston, MA,37  ,$52082,$52082,17944
Case Western Reserve University,Cleveland, OH,37  ,$47500,$47500,5152
Northeastern University,Boston, MA,40  ,$49497,$49497,13473
Tulane University,New Orleans, LA,40  ,$52960,$52960,6377
Rensselaer Polytechnic Institute,Troy, NY,42  ,$52305,$52305,6265
Lehigh University,Bethlehem, PA,46  ,$50740,$50740,5080
Pepperdine University,Malibu, CA,46  ,$51992,$51992,3542
University of Miami,Coral Gables, FL,46  ,$48484,$48484,10849
Villanova University,Villanova, PA,46  ,$51434,$51434,6999
George Washington University,Washington, DC,56  ,$53518,$53518,11504
Brigham Young University--Provo,Provo, UT,61  ,$5460,$5460,30979
Fordham University,New York, NY,61  ,$50601,$50601,9258
Southern Methodist University,Dallas, TX,61  ,$52498,$52498,6521
Syracuse University,Syracuse, NY,61  ,$46755,$46755,15218
Worcester Polytechnic Institute,Worcester, MA,61  ,$48628,$48628,4432
American University,Washington, DC,69  ,$46615,$46615,7901
Stevens Institute of Technology,Hoboken, NJ,69  ,$50554,$50554,3021
Baylor University,Waco, TX,75  ,$43790,$43790,14348
Texas Christian University,Fort Worth, TX,78  ,$44760,$44760,8891
Clark University,Worcester, MA,81  ,$44400,$44400,2289
University of Denver,Denver, CO,87  ,$48669,$48669,5754
University of Tulsa,Tulsa, OK,87  ,$39502,$39502,3406
Marquette University,Milwaukee, WI,90  ,$39900,$39900,8238
University of San Diego,San Diego, CA,90  ,$47708,$47708,5711
Drexel University,Philadelphia, PA,94  ,$52002,$52002,13251
Saint Louis University,St. Louis, MO,94  ,$42166,$42166,7454
Yeshiva University,New York, NY,94  ,$42000,$42000,2714
Rochester Institute of Technology,Rochester, NY,97  ,$40068,$40068,12410
Illinois Institute of Technology,Chicago, IL,103  ,$45864,$45864,2944
Loyola University Chicago,Chicago, IL,103  ,$42828,$42828,11129
Howard University,Washington, DC,110  ,$25697,$25697,5899
University of San Francisco,San Francisco, CA,110  ,$46250,$46250,6745
University of the Pacific,Stockton, CA,110  ,$46346,$46346,3483
University of St. Thomas,St. Paul, MN,115  ,$41133,$41133,6111
The Catholic University of America,Washington, DC,120  ,$44060,$44060,3241
DePaul University,Chicago, IL,120  ,$39010,$39010,15407
Duquesne University,Pittsburgh, PA,120  ,$36394,$36394,6039
Clarkson University,Potsdam, NY,124  ,$47950,$47950,3268
Seton Hall University,South Orange, NJ,124  ,$40588,$40588,5956
University of Dayton,Dayton, OH,124  ,$41750,$41750,8330
Hofstra University,Hempstead, NY,132,$43960,$43960,6899
Mercer University,Macon, GA,133  ,$36000,$36000,4706
The New School,New York, NY,133  ,$47330,$47330,7014
St. John Fisher College,Rochester, NY,145  ,$33120,$33120,2786
Adelphi University,Garden City, NY,151  ,$37170,$37170,5205
Florida Institute of Technology,Melbourne, FL,151  ,$41240,$41240,3629
Seattle Pacific University,Seattle, WA,151  ,$40893,$40893,3095
Biola University,La Mirada, CA,159  ,$38448,$38448,4091
University of La Verne,La Verne, CA,159  ,$41450,$41450,2809
Immaculata University,Immaculata, PA,165  ,$27350,$27350,1555
Maryville University of St. Louis,St Louis, MO,165  ,$28470,$28470,2967
St. John's University,Queens, NY,165  ,$40790,$40790,16440
Robert Morris University,Moon Township, PA,176  ,$29420,$29420,4384
Union University,Jackson, TN,176  ,$31580,$31580,2214
University of Hartford,West Hartford, CT,176  ,$38910,$38910,5150
Edgewood College,Madison, WI,181  ,$28500,$28500,1661
Lesley University,Cambridge, MA,181  ,$26550,$26550,1929
Lipscomb University,Nashville, TN,181  ,$30932,$30932,2986
Suffolk University,Boston, MA,181  ,$37270,$37270,5290
Azusa Pacific University,Azusa, CA,187  ,$36120,$36120,5770
Pace University,New York, NY,187  ,$44036,$44036,8914
Andrews University,Berrien Springs, MI,192  ,$28436,$28436,1688
Widener University,Chester, PA,192  ,$44166,$44166,3591
Nova Southeastern University,Ft. Lauderdale, FL,198  ,$29940,$29940,4295
Dallas Baptist University,Dallas, TX,202  ,$27480,$27480,3223
Ashland University,Ashland, OH,223  ,$20700,$20700,4536
Benedictine University,Lisle, IL,223  ,$33900,$33900,3171
Gardner-Webb University,Boiling Springs, NC,223  ,$30740,$30740,2362
Shenandoah University,Winchester, VA,223  ,$31920,$31920,2099
American International College,Springfield, MA,Rank Not Published,$33140,$33140,1424
Barry University,Miami Shores, FL,Rank Not Published,$29700,$29700,3541
Cardinal Stritch University,Milwaukee, WI,Rank Not Published,$28844,$28844,1534
Clark Atlanta University,Atlanta, GA,Rank Not Published,$23082,$23082,3093
Grand Canyon University 1,Phoenix, AZ,Rank Not Published,$17050,$17050,N/A
Liberty University,Lynchburg, VA,Rank Not Published,$24304,$24304,47050
Lindenwood University,St. Charles, MO,Rank Not Published,$16960,$16960,7549
National Louis University 1,Chicago, IL,Rank Not Published,$10380,$10380,N/A
Regent University,Virginia Beach, VA,Rank Not Published,$17450,$17450,3806
Spalding University 1,Louisville, KY,Rank Not Published,$24388,$24388,N/A
Trevecca Nazarene University,Nashville, TN,Rank Not Published,$25100,$25100,2092
Trinity International University,Deerfield, IL,Rank Not Published,$30750,$30750,1076
University of the Cumberlands,Williamsburg, KY,Rank Not Published,$23000,$23000,3082
Alliant International University,San Diego, CA,Unranked,$17510,$17510,1264
Argosy University 1,Orange, CA,Unranked,$13152,$13152,N/A
California Institute of Integral Studies 1,San Francisco, CA,Unranked,$28467,$28467,N/A
Capella University 1,Minneapolis, MN,Unranked,$13998,$13998,N/A
Northcentral University,San Diego, AZ,Unranked,$10368,$10368,133
Trident University International 1,Cypress, CA,Unranked,$9000,$9000,N/A
Union Institute and University 1,Cincinnati, OH,Unranked,$12416,$12416,N/A
University of Phoenix 1,Phoenix, AZ,Unranked,$9690,$9690,N/A
Walden University 1,Minneapolis, MN,Unranked,$12075,$12075,N/A
Wilmington University,New Castle, DE,Unranked,$10940,$10940,8873
University of California--Berkeley,Berkeley, CA,21  ,$42112 , $14098 ,29311
University of California--Los Angeles,Los Angeles, CA,21  ,$41270 , $13256 ,30873
University of Virginia,Charlottesville, VA,25  ,$46975 , $16146 ,16331
University of Michigan--Ann Arbor,Ann Arbor, MI,28,$47476 , $14826 ,28983
University of North Carolina--Chapel Hill,Chapel Hill, NC,30  ,$34588 , $9005 ,18523
College of William & Mary,Williamsburg, VA,32  ,$43099 , $20287 ,6276
Georgia Institute of Technology,Atlanta, GA,34  ,$33014 , $12418 ,15489
University of California--Santa Barbara,Santa Barbara, CA,37  ,$42423 , $14409 ,21574
University of California--Irvine,Irvine, CA,42  ,$43530 , $15516 ,27331
University of California--San Diego,La Jolla, CA,42  ,$44197 , $16183 ,28127
University of Florida,Gainesville, FL,42  ,$28658 , $6381 ,34554
University of California--Davis,Davis, CA,46  ,$42396 , $14382 ,29546
University of Wisconsin--Madison,Madison, WI,46  ,$34782 , $10533 ,31710
Pennsylvania State University--University Park,University Park, PA,52  ,$33664 , $18436 ,41359
University of Illinois--Urbana-Champaign,Champaign, IL,52  ,$31988 , $15868 ,33932
Ohio State University--Columbus,Columbus, OH,54  ,$29659 , $10591 ,45831
University of Georgia,Athens, GA,54  ,$30392 , $11818 ,27951
Purdue University--West Lafayette,West Lafayette, IN,56  ,$28804 , $10002 ,30043
University of Connecticut,Storrs, CT,56  ,$36948 , $14880 ,19324
University of Texas--Austin,Austin, TX,56  ,$35766 , $10136 ,40168
University of Washington,Seattle, WA,56  ,$35538 , $10974 ,30933
University of Maryland--College Park,College Park, MD,61  ,$33606 , $10399 ,28472
Clemson University,Clemson, SC,67,$35654 , $14712 ,18599
University of Pittsburgh,Pittsburgh, PA,68,$30642 , $19080 ,19123
Rutgers University--New Brunswick,Piscataway, NJ,69  ,$30023 , $14372 ,36168
Texas A&M University--College Station,College Station, TX,69  ,$30208 , $10030 ,50735
University of Minnesota--Twin Cities,Minneapolis, MN,69  ,$26603 , $14417 ,34871
Virginia Tech,Blacksburg, VA,69  ,$29371 , $12852 ,25791
Colorado School of Mines,Golden, CO,75  ,$37436 , $18386 ,4612
University of Massachusetts--Amherst,Amherst, MA,75  ,$33662 , $15596 ,23373
Miami University--Oxford,Oxford, OH,78  ,$32768 , $14578 ,16981
University of Iowa,Iowa City, IA,78  ,$28813 , $8575 ,24476
Florida State University,Tallahassee, FL,81  ,$21673 , $6507 ,32929
Michigan State University,East Lansing, MI,81  ,$39405 , $14460 ,39090
North Carolina State University--Raleigh,Raleigh, NC,81  ,$27406 , $9058 ,23847
University of California--Santa Cruz,Santa Cruz, CA,81  ,$42042 , $14028 ,16962
