developer-friendly name,VARIABLE NAME
id,UNITID
ope8_id,OPEID
ope6_id,OPEID6
name,INSTNM
city,CITY
state,STABBR
zip,ZIP
accreditor,ACCREDAGENCY
school_url,INSTURL
price_calculator_url,NPCURL
degrees_awarded.predominant_recoded,SCH_DEG
under_investigation,HCM2
main_campus,MAIN
branches,NUMBRANCH
degrees_awarded.predominant,PREDDEG
degrees_awarded.highest,HIGHDEG
ownership,CONTROL
state_fips,ST_FIPS
region_id,REGION
locale,LOCALE
degree_urbanization,LOCALE2
location.lat,LATITUDE
location.lon,LONGITUDE
carnegie_basic,CCBASIC
carnegie_undergrad,CCUGPROF
carnegie_size_setting,CCSIZSET
minority_serving.historically_black,HBCU
minority_serving.predominantly_black,PBI
minority_serving.annh,ANNHI
minority_serving.tribal,TRIBAL
minority_serving.aanipi,AANAPII
minority_serving.hispanic,HSI
minority_serving.nant,NANTI
men_only,MENONLY
women_only,WOMENONLY
religious_affiliation,RELAFFIL
admission_rate.overall,ADM_RATE
admission_rate.by_ope_id,ADM_RATE_ALL
sat_scores.25th_percentile.critical_reading,SATVR25
sat_scores.75th_percentile.critical_reading,SATVR75
sat_scores.25th_percentile.math,SATMT25
sat_scores.75th_percentile.math,SATMT75
sat_scores.25th_percentile.writing,SATWR25
sat_scores.75th_percentile.writing,SATWR75
sat_scores.midpoint.critical_reading,SATVRMID
sat_scores.midpoint.math,SATMTMID
sat_scores.midpoint.writing,SATWRMID
act_scores.25th_percentile.cumulative,ACTCM25
act_scores.75th_percentile.cumulative,ACTCM75
act_scores.25th_percentile.english,ACTEN25
act_scores.75th_percentile.english,ACTEN75
act_scores.25th_percentile.math,ACTMT25
act_scores.75th_percentile.math,ACTMT75
act_scores.25th_percentile.writing,ACTWR25
act_scores.75th_percentile.writing,ACTWR75
act_scores.midpoint.cumulative,ACTCMMID
act_scores.midpoint.english,ACTENMID
act_scores.midpoint.math,ACTMTMID
act_scores.midpoint.writing,ACTWRMID
sat_scores.average.overall,SAT_AVG
sat_scores.average.by_ope_id,SAT_AVG_ALL
program_percentage.agriculture,PCIP01
program_percentage.resources,PCIP03
program_percentage.architecture,PCIP04
program_percentage.ethnic_cultural_gender,PCIP05
program_percentage.communication,PCIP09
program_percentage.communications_technology,PCIP10
program_percentage.computer,PCIP11
program_percentage.personal_culinary,PCIP12
program_percentage.education,PCIP13
program_percentage.engineering,PCIP14
program_percentage.engineering_technology,PCIP15
program_percentage.language,PCIP16
program_percentage.family_consumer_science,PCIP19
program_percentage.legal,PCIP22
program_percentage.english,PCIP23
program_percentage.humanities,PCIP24
program_percentage.library,PCIP25
program_percentage.biological,PCIP26
program_percentage.mathematics,PCIP27
program_percentage.military,PCIP29
program_percentage.multidiscipline,PCIP30
program_percentage.parks_recreation_fitness,PCIP31
program_percentage.philosophy_religious,PCIP38
program_percentage.theology_religious_vocation,PCIP39
program_percentage.physical_science,PCIP40
program_percentage.science_technology,PCIP41
program_percentage.psychology,PCIP42
program_percentage.security_law_enforcement,PCIP43
program_percentage.public_administration_social_service,PCIP44
program_percentage.social_science,PCIP45
program_percentage.construction,PCIP46
program_percentage.mechanic_repair_technology,PCIP47
program_percentage.precision_production,PCIP48
program_percentage.transportation,PCIP49
program_percentage.visual_performing,PCIP50
program_percentage.health,PCIP51
program_percentage.business_marketing,PCIP52
program_percentage.history,PCIP54
program.certificate_lt_1_yr.agriculture,CIP01CERT1
program.certificate_lt_2_yr.agriculture,CIP01CERT2
program.assoc.agriculture,CIP01ASSOC
program.certificate_lt_4_yr.agriculture,CIP01CERT4
program.bachelors.agriculture,CIP01BACHL
program.certificate_lt_1_yr.resources,CIP03CERT1
program.certificate_lt_2_yr.resources,CIP03CERT2
program.assoc.resources,CIP03ASSOC
program.certificate_lt_4_yr.resources,CIP03CERT4
program.bachelors.resources,CIP03BACHL
program.certificate_lt_1_yr.architecture,CIP04CERT1
program.certificate_lt_2_yr.architecture,CIP04CERT2
program.assoc.architecture,CIP04ASSOC
program.certificate_lt_4_yr.architecture,CIP04CERT4
program.bachelors.architecture,CIP04BACHL
program.certificate_lt_1_yr.ethnic_cultural_gender,CIP05CERT1
program.certificate_lt_2_yr.ethnic_cultural_gender,CIP05CERT2
program.assoc.ethnic_cultural_gender,CIP05ASSOC
program.certificate_lt_4_yr.ethnic_cultural_gender,CIP05CERT4
program.bachelors.ethnic_cultural_gender,CIP05BACHL
program.certificate_lt_1_yr.communication,CIP09CERT1
program.certificate_lt_2_yr.communication,CIP09CERT2
program.assoc.communication,CIP09ASSOC
program.certificate_lt_4_yr.communication,CIP09CERT4
program.bachelors.communication,CIP09BACHL
program.certificate_lt_1_yr.communications_technology,CIP10CERT1
program.certificate_lt_2_yr.communications_technology,CIP10CERT2
program.assoc.communications_technology,CIP10ASSOC
program.certificate_lt_4_yr.communications_technology,CIP10CERT4
program.bachelors.communications_technology,CIP10BACHL
program.certificate_lt_1_yr.computer,CIP11CERT1
program.certificate_lt_2_yr.computer,CIP11CERT2
program.assoc.computer,CIP11ASSOC
program.certificate_lt_4_yr.computer,CIP11CERT4
program.bachelors.computer,CIP11BACHL
program.certificate_lt_1_yr.personal_culinary,CIP12CERT1
program.certificate_lt_2_yr.personal_culinary,CIP12CERT2
program.assoc.personal_culinary,CIP12ASSOC
program.certificate_lt_4_yr.personal_culinary,CIP12CERT4
program.bachelors.personal_culinary,CIP12BACHL
program.certificate_lt_1_yr.education,CIP13CERT1
program.certificate_lt_2_yr.education,CIP13CERT2
program.assoc.education,CIP13ASSOC
program.certificate_lt_4_yr.education,CIP13CERT4
program.bachelors.education,CIP13BACHL
program.certificate_lt_1_yr.engineering,CIP14CERT1
program.certificate_lt_2_yr.engineering,CIP14CERT2
program.assoc.engineering,CIP14ASSOC
program.certificate_lt_4_yr.engineering,CIP14CERT4
program.bachelors.engineering,CIP14BACHL
program.certificate_lt_1_yr.engineering_technology,CIP15CERT1
program.certificate_lt_2_yr.engineering_technology,CIP15CERT2
program.assoc.engineering_technology,CIP15ASSOC
program.certificate_lt_4_yr.engineering_technology,CIP15CERT4
program.bachelors.engineering_technology,CIP15BACHL
program.certificate_lt_1_yr.language,CIP16CERT1
program.certificate_lt_2_yr.language,CIP16CERT2
program.assoc.language,CIP16ASSOC
program.certificate_lt_4_yr.language,CIP16CERT4
program.bachelors.language,CIP16BACHL
program.certificate_lt_1_yr.family_consumer_science,CIP19CERT1
program.certificate_lt_2_yr.family_consumer_science,CIP19CERT2
program.assoc.family_consumer_science,CIP19ASSOC
program.certificate_lt_4_yr.family_consumer_science,CIP19CERT4
program.bachelors.family_consumer_science,CIP19BACHL
program.certificate_lt_1_yr.legal,CIP22CERT1
program.certificate_lt_2_yr.legal,CIP22CERT2
program.assoc.legal,CIP22ASSOC
program.certificate_lt_4_yr.legal,CIP22CERT4
program.bachelors.legal,CIP22BACHL
program.certificate_lt_1_yr.english,CIP23CERT1
program.certificate_lt_2_yr.english,CIP23CERT2
program.assoc.english,CIP23ASSOC
program.certificate_lt_4_yr.english,CIP23CERT4
program.bachelors.english,CIP23BACHL
program.certificate_lt_1_yr.humanities,CIP24CERT1
program.certificate_lt_2_yr.humanities,CIP24CERT2
program.assoc.humanities,CIP24ASSOC
program.certificate_lt_4_yr.humanities,CIP24CERT4
program.bachelors.humanities,CIP24BACHL
program.certificate_lt_1_yr.library,CIP25CERT1
program.certificate_lt_2_yr.library,CIP25CERT2
program.assoc.library,CIP25ASSOC
program.certificate_lt_4_yr.library,CIP25CERT4
program.bachelors.library,CIP25BACHL
program.certificate_lt_1_yr.biological,CIP26CERT1
program.certificate_lt_2_yr.biological,CIP26CERT2
program.assoc.biological,CIP26ASSOC
program.certificate_lt_4_yr.biological,CIP26CERT4
program.bachelors.biological,CIP26BACHL
program.certificate_lt_1_yr.mathematics,CIP27CERT1
program.certificate_lt_2_yr.mathematics,CIP27CERT2
program.assoc.mathematics,CIP27ASSOC
program.certificate_lt_4_yr.mathematics,CIP27CERT4
program.bachelors.mathematics,CIP27BACHL
program.certificate_lt_1_yr.military,CIP29CERT1
program.certificate_lt_2_yr.military,CIP29CERT2
program.assoc.military,CIP29ASSOC
program.certificate_lt_4_yr.military,CIP29CERT4
program.bachelors.military,CIP29BACHL
program.certificate_lt_1_yr.multidiscipline,CIP30CERT1
program.certificate_lt_2_yr.multidiscipline,CIP30CERT2
program.assoc.multidiscipline,CIP30ASSOC
program.certificate_lt_4_yr.multidiscipline,CIP30CERT4
program.bachelors.multidiscipline,CIP30BACHL
program.certificate_lt_1_yr.parks_recreation_fitness,CIP31CERT1
program.certificate_lt_2_yr.parks_recreation_fitness,CIP31CERT2
program.assoc.parks_recreation_fitness,CIP31ASSOC
program.certificate_lt_4_yr.parks_recreation_fitness,CIP31CERT4
program.bachelors.parks_recreation_fitness,CIP31BACHL
program.certificate_lt_1_yr.philosophy_religious,CIP38CERT1
program.certificate_lt_2_yr.philosophy_religious,CIP38CERT2
program.assoc.philosophy_religious,CIP38ASSOC
program.certificate_lt_4_yr.philosophy_religious,CIP38CERT4
